Vivado Simulator 2018.2
Time resolution is 1 ps
q = 0000
q = 0001
q = 0010
q = 0011
q = 0100
q = 0101
q = 0110
q = 0111
q = 1000
q = 1001
q = 1010
q = 1011
q = 1100
q = 1101
q = 1110
q = 1111
q = 0000
q = 0001
q = 0010
q = 0011
q = 0100
q = 0101
q = 0110
q = 0111
q = 1000
q = 1001
q = 1010
q = 1011
q = 1100
q = 1101
q = 1110
q = 1111
q = 0000
q = 0001
q = 0010
q = 0011
q = 0100
q = 0101
q = 0110
q = 0111
q = 1000
q = 1001
q = 1010
q = 1011
q = 1100
q = 1101
q = 1110
q = 1111
q = 0000
q = 0001
